trade_id,symbol,signal_time,direction,a_filter_result,a_aligned_bars,b_pullback_found,entry_time,entry_price_fill,atr_1h,stop_price,tp_price,exit_time,exit_price,exit_reason,net_pnl_usd,r_multiple,mfe_r,mae_r,notes
1,AVAXUSDT,2026-03-19 14:00:00,long,pass,3,TRUE,2026-03-19 15:43:00,22.4534,0.3120,21.9854,23.2334,,,,,,,,,
1,AVAXUSDT,2026-03-19T02:00:00,short,pass,3,False,2026-03-19T15:00:00,9.613077,0.09750000000000014,9.759327,9.369327,2026-03-19T15:15:00,9.369327,tp,23.381441342870794,1.5368724512820515,1.7441162393162368,0.0,
4,XRPUSDT,2026-03-17T12:00:00,short,pass,4,False,2026-03-19T15:00:00,1.50389916,0.02413571428571426,1.5401027314285713,1.4435598742857143,2026-03-19T15:00:00,1.4435598742857143,tp,38.16201791082854,1.5852531784946253,1.7456609253230735,0.0,
1,AVAXUSDT,2026-03-22T11:00:00,short,pass,4,True,2026-03-22T07:00:00,9.084546,0.09257142857142865,9.223403142857142,8.853117428571428,2026-03-22T07:00:00,9.228937184742856,stop,-17.910049432035365,-1.1717414356925853,0.0,1.1843395061728454,
